Unnamed: 0,Unnamed: 1,Session Info,Session Info.1,Session Info.2,Unnamed: 5,Last Deal,Last Deal.1,Last Deal.2,Unnamed: 9,End of day info,End of day info.1,End of day info.2,Unnamed: 13,Reference prices,Reference prices.1,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Fecha_Extraccion
Contract name,,Best bid (€/MWh),Best Ask (€/MWh),Volume (MWh),,Price (€/MWh),Time,Volume (MWh),,Open Interest,Nr of Contracts,OTC volume (MWh),,D (€/MWh),D-1 (€/MWh),,,,Transparency info,2026-08-24
,,,,,,,,,,,,,,,,,,,,2026-08-24
ISIN Code: PTFTO0461841Nominal Fixo MWH: 24Trading last day: 2026-08-24Trading quotation: €/MWhFTB D Tu25Aug-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,120.35,106.65,,,,,2026-08-24
,,,,,,,,,,,,,,,,,,,,2026-08-24
ISIN Code: PTFTO0461858Nominal Fixo MWH: 24Trading last day: 2026-08-25Trading quotation: €/MWhFTB D We26Aug-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,114.00,105.39,,,,,2026-08-24
,,,,,,,,,,,,,,,,,,,,2026-08-24
ISIN Code: PTFTO0461866Nominal Fixo MWH: 24Trading last day: 2026-08-26Trading quotation: €/MWhFTB D Th27Aug-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,110.14,105.27,,,,,2026-08-24
,,,,,,,,,,,,,,,,,,,,2026-08-24
ISIN Code: PTFTO0461874Nominal Fixo MWH: 24Trading last day: 2026-08-27Trading quotation: €/MWhFTB D Fr28Aug-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,107.52,102.65,,,,,2026-08-24
,,,,,,,,,,,,,,,,,,,,2026-08-24
ISIN Code: PTFTO0461882Nominal Fixo MWH: 24Trading last day: 2026-08-28Trading quotation: €/MWhFTB D Sa29Aug-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,94.53,89.66,,,,,2026-08-24
,,,,,,,,,,,,,,,,,,,,2026-08-24
ISIN Code: PTFTO0461890Nominal Fixo MWH: 24Trading last day: 2026-08-28Trading quotation: €/MWhFTB D Su30Aug-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,85.53,80.66,,,,,2026-08-24
,,,,,,,,,,,,,,,,,,,,2026-08-24
