Unnamed: 0,Unnamed: 1,Session Info,Session Info.1,Session Info.2,Unnamed: 5,Last Deal,Last Deal.1,Last Deal.2,Unnamed: 9,End of day info,End of day info.1,End of day info.2,Unnamed: 13,Reference prices,Reference prices.1,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Fecha_Extraccion
Contract name,,Best bid (€/MWh),Best Ask (€/MWh),Volume (MWh),,Price (€/MWh),Time,Volume (MWh),,Open Interest,Nr of Contracts,OTC volume (MWh),,D (€/MWh),D-1 (€/MWh),,,,Transparency info,2026-09-08
,,,,,,,,,,,,,,,,,,,,2026-09-08
ISIN Code: PTFTO0461999Nominal Fixo MWH: 24Trading last day: 2026-09-08Trading quotation: €/MWhFTB D We09Sep-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,107.76,126.00,,,,,2026-09-08
ISIN Code: PTFTO0462005Nominal Fixo MWH: 24Trading last day: 2026-09-09Trading quotation: €/MWhFTB D Th10Sep-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,147.00,155.00,,,,,2026-09-08
ISIN Code: PTFTO0462013Nominal Fixo MWH: 24Trading last day: 2026-09-10Trading quotation: €/MWhFTB D Fr11Sep-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,148.00,155.00,,,,,2026-09-08
ISIN Code: PTFTO0462021Nominal Fixo MWH: 24Trading last day: 2026-09-11Trading quotation: €/MWhFTB D Sa12Sep-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,125.18,132.10,,,,,2026-09-08
ISIN Code: PTFTO0462039Nominal Fixo MWH: 24Trading last day: 2026-09-11Trading quotation: €/MWhFTB D Su13Sep-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,110.82,119.90,,,,,2026-09-08
ISIN Code: PTFTO0463581Nominal Fixo MWH: 48Trading last day: 2026-09-11Trading quotation: €/MWhFTB WE 12Sep-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,118.00,126.00,,,,,2026-09-08
ISIN Code: PTFTO0464084Nominal Fixo MWH: 168Trading last day: 2026-09-11Trading quotation: €/MWhFTB Wk38-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,143.50,146.00,,,,,2026-09-08
ISIN Code: PTFTO0464092Nominal Fixo MWH: 168Trading last day: 2026-09-18Trading quotation: €/MWhFTB Wk39-26,,n.a.,n.a.,0,,n.a.,n.a.,n.a.,,0,0,0,,146.50,147.00,,,,,2026-09-08
